Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2022T3;126,074
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2022T2;124,561
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2022T1;123,026
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2021T4;118,408
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2021T3;118,054
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2021T2;116,122
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2021T1;114,172
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2020T4;112,541
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2020T3;114,308
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2020T2;113,207
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2020T1;113,909
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T4;111,887
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T3;112,359
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T2;111,850
Nacional;15 Navarra, Comunidad Foral de;General;Índice;2019T1;110,358
Nacional;16 País Vasco;General;Índice;2025T4;170,638
Nacional;16 País Vasco;General;Índice;2025T3;168,610
Nacional;16 País Vasco;General;Índice;2025T2;164,980
Nacional;16 País Vasco;General;Índice;2025T1;159,472
Nacional;16 País Vasco;General;Índice;2024T4;151,915
Nacional;16 País Vasco;General;Índice;2024T3;151,029
Nacional;16 País Vasco;General;Índice;2024T2;146,777
Nacional;16 País Vasco;General;Índice;2024T1;141,867
Nacional;16 País Vasco;General;Índice;2023T4;137,252
Nacional;16 País Vasco;General;Índice;2023T3;139,330
Nacional;16 País Vasco;General;Índice;2023T2;135,331
Nacional;16 País Vasco;General;Índice;2023T1;133,352
Nacional;16 País Vasco;General;Índice;2022T4;132,132
Nacional;16 País Vasco;General;Índice;2022T3;134,215
Nacional;16 País Vasco;General;Índice;2022T2;131,348
Nacional;16 País Vasco;General;Índice;2022T1;129,365
