Total Nacional;Comunidades y Ciudades Autónomas;General, vivienda nueva y de segunda mano;Índices y tasas;Periodo;Total
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2024T4;1,8
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2024T3;2,4
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2024T2;3,4
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2024T1;2,4
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2023T4;-1,1
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2023T3;2,3
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2023T2;2,2
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2023T1;1,0
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2022T4;-1,4
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2022T3;2,3
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2022T2;1,2
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2022T1;2,9
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2021T4;1,1
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2021T3;2,0
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2021T2;1,3
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2021T1;1,0
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2020T4;-1,4
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2020T3;1,0
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2020T2;-0,6
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2020T1;2,5
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2019T4;-1,7
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2019T3;1,5
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2019T2;0,3
Nacional;13 Madrid, Comunidad de;General;Variación trimestral;2019T1;2,9
Nacional;14 Murcia, Región de;General;Variación trimestral;2025T4;2,3
Nacional;14 Murcia, Región de;General;Variación trimestral;2025T3;3,3
Nacional;14 Murcia, Región de;General;Variación trimestral;2025T2;5,0
Nacional;14 Murcia, Región de;General;Variación trimestral;2025T1;3,2
Nacional;14 Murcia, Región de;General;Variación trimestral;2024T4;2,8
Nacional;14 Murcia, Región de;General;Variación trimestral;2024T3;2,9
Nacional;14 Murcia, Región de;General;Variación trimestral;2024T2;3,8
Nacional;14 Murcia, Región de;General;Variación trimestral;2024T1;1,7
Nacional;14 Murcia, Región de;General;Variación trimestral;2023T4;0,4
Nacional;14 Murcia, Región de;General;Variación trimestral;2023T3;1,4
Nacional;14 Murcia, Región de;General;Variación trimestral;2023T2;2,0
Nacional;14 Murcia, Región de;General;Variación trimestral;2023T1;-0,1
Nacional;14 Murcia, Región de;General;Variación trimestral;2022T4;-1,1
Nacional;14 Murcia, Región de;General;Variación trimestral;2022T3;0,6
Nacional;14 Murcia, Región de;General;Variación trimestral;2022T2;2,4
